cuauhtemoc;helen
isabell;sorin
isabella;sorina
isabelle;sorley
isador;sorrel
isadora;sosigenes
isadore;sosimo
isaia;sostrate
isaiah;sotiria
isaias;sotirios
isak;sotiris
'isam;spartacus
isamu;spencer
isandro;spike
isaura;spiridon
isbel;spiro
iseabail;spiros
isebella;spring
iser;sprita
iseult;spurius
isha;spyridon
ishbel;spyro
ishmael;spyros
ishmerai;sri
ishtar;sroel
isiah;ssanyu
isibéal;stacee
isidor;stacey
isidora;staci
isidore;stacia
isidoro;stacie
isis;stacy
iskender;stafford
isla;stamatia
islay;stamatios
isleen;stamatis
islwyn;stan
ismael;stanford
isma'il;stanimir
'ismat;stanislas
ismene;stanislav
isobel;stanislava
isocrates;stanislaw
isolda;stanislawa
isolde;stanley
isra;star
israel;stasya
issa;stathis
issac;stavros
issachar;steafan
issur;steaphan
issy;steen
istván;steenie
ita;stef
itala;stefan
italo;stefana
italus;stefania
itamar;stefanie
ithamar;stefano
ithel;stefanos
i'tidal;steffan
itzhak;steffen
itziar;steffie
iúile;stein
iulia;stela
iulian;stelara
iuliana;stelian
iva;stelios
ivah;stella
ivan;stellan
ivana;sten
ivanka;stepan
ivanna;steph
ivar;stephan
ives;stéphane
ivette;stephania
ivo;stéphanie
ivonette;stephanie
ivonne;stephanos
ivor;stephany
ivory;stephen
ivy;steren
iwan;sterling
iwo;sterre
iwona;steve
ixchel;steven
iyov;stevie
izaak;stew
izabela;stewart
izabella;stian
izdihar;stig
izolda;stígandr
izsák;stijn
izumi;stina
izz-al-din;stiofán
izz-ed-din;stirling
izzy;storm
jaakko;straton
jaan;stribog
jaana;stu
jaap;stuart
jabbar;stylianos
jabez;su
jabin;subhash
jabir;subira
jabr;sudarshana
jabril;sudhir
jacaline;sue
jacek;suha
jacenty;suhail
jachin;suhayl
jacinda;suibhne
jacinta;suibne
jacinth;sukie
jacintha;sulabha
jacinthe;sulaiman
jacinto;sülayman
jack;süleiman
jackalyn;süleyman
jacki;sulislaw
jackie;sullivan
jacklyn;sulo
jackson;suman
jaclyn;sumantra
jacob;sumati
jacoba;sumayya
jacobina;sumiko
jacobine;summanus
jacobo;summer
jacobus;sunan
jacopo;sundar
jacqueline;sundara
jacquelyn;sunday
jacques;sunder
jacquetta;sunil
jacquette;sunita
jacqui;sunitha
jada;suniti
jade;sunniva
jaden;sunny
jadon;sunshine
jadranka;suraj
jadranko;suraya
jadwiga;surendra
jadyn;suresh
jadzia;surinder
jael;surya
jafar;susan
jafet;susana
jaffar;susanita
jaffe;susanna
jaffer;susannah
jagannath;susanne
jagdish;suse
jagjit;susheela
jago;sushil
jagoda;sushila
jahan;susie
jahangir;susumu
jahel;suvi
jahleel;suzan
jahzeel;suzana
jai;suzanna
jaiden;suzanne
jaidev;suzette
jaime (1);suzie
jaime (2);suzu
jair;suzume
jairus;suzy
jaka;svajone
jakab;svana
jake;svanhild
jakki;svanhildur
jákob;svarog
jakob;sven
jakov;sverre
jakub;sveta
jalal;svetlana
jalen;svjetlana
jalila;svyatopolk
jalmari;svyatoslav
jalo;swanhild
jamaal;swanhilda
jamaar;swanhilde
jamal;swaran
jamar;sweeney
jameel;swietomierz
jameela;swietopelk
james;swietoslaw
jamesina;swithin
jamey;swithun
jami;sybella
jamie (1);sybil
jamie (2);sybilla
jamil;sybille
jamila;syd
jamin;sydne
jamison;sydney
jamshad;sylvain
jamshed;sylvaine
jamsheed;sylvana
jan (1);sylvester
jan (2);sylvestre
jana;sylvia
janae;sylviane
janan;sylvianne
jancis;sylvie
jancsi;sylwester
jane;sylwia
janecek;symphony
janek;syntyche
janeka;szabolcs
janel;szczepan
janele;szczesny
janella;szilárd
janelle;szilveszter
janene;szilvia
janessa;szymon
janet;taavetti
janetta;taavi
janette;tabatha
janey;tabby
janez;tabea
jani;tabitha
janice;tacey
janie;tacita
janika;tacito
janina;tacitus
janine;tad
janis (1);taddeo
janis (2);tadej
janna;tadeo
jannah;tadeu
janne (1);tadeusz
janne (2);tadg
janneke;tadhg
jannick;taegan
jannike;taffy
jannine;tahnee
jános;tähti
janus;tahvo
janusz;tai
japeth;taimi
japheth;takako
jaqueline;takashi
jaquelyn;takehiko
jared;takeshi
jarek;takouhi
jareth;takumi
jari;tal
jarka;talbot
jarl;taletta
jarlath;talfryn
jarmila;talia
jarod;taliba
jarogniew;taliesin
jaromil;taline
jaromir;talitha
jaron;tallulah
jaropelk;talulla
jaroslav;talya
jaroslaw;tam
jaroslawa;tamar
jarred;tamara
jarrett;tamás
jarrod;tamati
jarvis;tameka
jasmin;tamera
jasmine;tami
jasmyn;tamia
jason;tamid
jasper;tamika
jaswinder;tamiko
jathbiyya;tamir
jathibiyya;tammaro
jaume;tammi
jaumet;tammie
javaid;tammy
javan;tamra
javed;tamsen
javier;tamsin
javor;tamson
jawahir;tamzen
jawdat;tancred
jaxon;tancredo
jay (1);taneka
jay (2);taneli
jaya;tanesha
jayant;tania
jayanti;tanika
jaycob;tanis
jayda;tanisha
jayde;tanit
jayden;tanith
jaydon;tanja
jaye;tanner
jayel;tansy
jayla;tanya
jaylee;tanzi
jaylen;tapani
jaylin;tapio
jaylon;tara (1)
jayma;tara (2)
jayme;taranis
jaymes;taras
jayna;tarek
jayne;tarina
jaynie;tariq
jayson;tarmo
jaywant;taro
jazmin;tarquin
jazmine;taryn
jean (1);tasgall
jean (2);tasha
jeana;taskill
jean-baptiste;tate
jeane;tatiana
jeanette;tatianna
jeanie;tatienne
jeanine;tatjana
jean-marie;tatton
jeanna;tatu
jeanne;tatum
jeannette;tatyana
jeannie;tatyanna
jeannine;tau
jeannot;tawfiq
jeb;tawnie
jed;tawny
jedidah;tayler
jedidiah;taylor
jedrzej;teagan
jeetendra;teague
jeff;teal
jefferson;teale
jeffery;tearach
jeffrey;teàrlach
jeffry;teàrlag
jehiel;teasag
jehoash;teca
jehoshaphat;tecla
jehovah;tecumseh
jehu;ted
jekaterina;teddy
jelani;teemu
jelena;tegan
jelka;tegwen
jem;tehila
jemima;teige
jemma;teigue
jemmy;teivel
jen;tekla
jena;tel
jenae;telesphore
jenaro;telma
jenci;teman
jenelle;temani
jenessa;temel
jeni;temitope
jenifer;temperance
jenn;tempest
jenna;temple
jenni;temujin
jennie;tendai
jennifer;tennyson
jenny;tenskwatawa
jenõ;teodor
jens;teodora
jep;teodoro
jephtha;teodors
jephthah;teodosio
jepson;teofil
jeptha;teofilo
jera;teppo
jerald;tera
jere;terach
jeremiah;terah
jeremias;terance
jérémie;tercero
jeremiel;tere
jeremy;terence
jeri;terenzio
jericho;teresa
jerk;terese
jerker;teresinha
jermaine;teréz
jernej;tereza
jeroen;terézia
jerold;terezija
jérôme;terezinha
jerome;teri
jerónimo;teris
jerrard;terminus
jerri;tero
jerrie;terpsichore
jerrod;terra
jerrold;terrance
jerry;terrell
jerusha;terrence
jervis;terri
jerzy;terrie
jesper;terry
jess;tertius
jessalyn;tess
jessamine;tessa
jessamyn;tessie
jesse;tetty
jessenia;teunis
jessi;teuvo
jessica;tevye
jessie (1);tex
jessie (2);thabo
jessika;thad
jessye;thaddeus
jesús;thais
jesus;thales
jesusa;thalia
jethro;than
jetta;thanatos
jeunesse;thane
jewel;thanh
jewell;thea
jezebel;thecla
jia;theda
jiang;theirn
jill;thekla
jillian;thelma
jillie;thelonius
jilly;themis
jim;themistocles
jimena;théo
jimi;theo
jimmie;theobald
jimmy;theocritus
jin;theodor
jinan;theodora
jindrich;théodore
jing;theodore
jin-ho;theodoric
jinny;theodoros
jirair;theodosia
jirí;theodosius
jiro;theodotus
jitender;theophania
jitendra;theophila
jitinder;théophile
jo;theophilus
joab;theophylaktos
joachim;therapon
joakim;theresa
joan (1);thérèse
joan (2);theresia
joana;theron
joandra;theseus
joann;theunis
joanna;thi
joanne;thiago
joannes;thibault
joão;thierry
joaquim;thirza
joaquima;thom
joaquin;thomas
joash;thomasina
job;þór
jobeth;thor
joby;thora
jocasta;þórbjörn
jocelin;thorbjörn
joceline;thorborg
jocelyn;thorburn
jochem;þórdís
jochen;þórir
jochim;thorley
jochjo;thornton
jock;þórr
jockie;þórstein
jocky;thorstein
jocosa;thorvald
jodene;thoth
jodi;thracius
jodie;thu
jody;thuán
joe;thucydides
joël;thunor
joel;thurayya
joelle;thurstan
joep;thutmose
joetta;thuy
joey;thyra
johan;thyrza
johana;tia
jóhann;tiago
johann;tiamat
jóhanna;tiana
johanna;tianna
johanne;tiara
johanneke;tiarnach
jóhannes;tiarnan
johannes;tibby
johano;tiberius
johar;tibor
john;tiborc
johnathan;tiburcio
johnathon;tiede
johnie;tien
johnnie;tiernan
johnny;tierney
joi;tierra
joisse;tiffani
jokum;tiffany
jolán;tiger
jolana;tigernach
jolanda;tigernán
jolánka;tighearnach
jolanta;tighearnán
joleen;tiina
jolene;tikhon
jolie;tilda
jolyon;till
jón;tillie
jon (1);tillo
jon (2);tilly
jóna;tim
jonah;timaeus
jónas;tímea
jonas (1);timeus
jonas (2);timmy
jónatan;timo (1)
jonatan;timo (2)
jonathan;timofei
jonathon;timon
jonelle;timotei
jonette;timotej
joni (1);timoteo
joni (2);timoteus
jonie;timotha
jonna;timothea
jonny;timothée
jonquil;timothy
jonty;timoti
jools;tina
joona;tinek
joonas;tinuviel
joop;tipene
joord;tiphanie
joos;tiras
jooseppi;tirzah
joost;tisha
jöran;titania
jorck;titilayo
jordaan;tito
jordan;titty
jordana;titus
jordi;tivadar
jordon;tivoli
jordyn;tiw
jörg;tiwlip
jorge;tiziana
jörgen;tiziano
jørgen;tlaloc
jorie;toal
joris;tobiah
jorma;tobias
jørn;tobin
jory;toby
jos;tod
joscelin;todd
josceline;todor
josé;toiba
josée;toinette
josef;toini
josefa;toirdhealbhach
josefina;toiréasa
joselyn;toivo
josep;tola
joseph;tolly
josepha;tom
josèphe;toma (1)
josephina;toma (2)
joséphine;tòmas
josephine;tomás
joses;tomas
josette;tomasa
josh;tomasz
joshawa;tomaz
joshua;tomer
josiah;tomi
josiane;tomiko
josias;tomislav
josie;tomislava
josif;tommaso
josip;tommi
jóska;tommie
joss;tommy
josslyn;tomos
josue;tondra
jotham;toni (1)
jouko;toni (2)
jouni;tonia
jourdain;tonio
jovan;tonka
jovana;tony
jovanka;tonya
jove;topaz
jovita;topher
jowan;topi
jowita;topsy
joy;tor
joyce;tora
joye;torben
jozafat;torbjörn
joze;torborg
jozef;torcall
jozefa;tordis
jozefo;tore (1)
jozo;tore (2)
józsef;torgeir
józsi;torger
józsua;torhild
jozua;tori
ju;toria
juan;toribio
juana;toril
juanita;torin
juanito;torkel
jubal;tormod
juda;torquil
judah;torsten
judas;torvald
judd;totty
jude;toussaint
judi;tova
judie;tovah
judit;tovia
judita;toya
judite;trace
judith;tracee
judy;tracey
judyta;traci
juha;tracie
juhana;tracy
juhani;trafford
juho;trahaearn
jukka;traherne
jules (1);trai
jules (2);traian
juli;trajan
júlia;tranter
julia;travers
julián;travis
julian;treasa
juliana;trecia
juliane;trefor
julianna;trent
julianne;trenton
julie;tresha
julien;trev
julienne;trevelyan
juliet;trevor
juliette;trey
julija;tria
julio;tricia
juliska;trijntje
julitta;trina
julius;trine
juliusz;trini
july;trinidad
julyan;trinity
jumaane;trish
jumana;trisha
jumanah;trista
june;tristán
jung;tristan
junior;tristand
juniper;tristão
junko;tristen
juno;tristin
juozas;triston
jupiter;tristram
juraj;trix
jure;trixie
jürgen;troy
jurgis;trudi
jurij;trudie
juro;trudy
jussi;trueman
juste;truman
justice;tryggve
justin;trygve
justina;tryphena
justine;tryphon
justus;tryphosa
justy;trystan
justyn;tsholofelo
justyna;tu (1)
jutta;tu (2)
jutte;tuan
juturna;tuathal
juuso;tucker
juvela;tudor
juvenal;tudur
juventas;tue
jyoti;tuija
jyotsana;tullia
jyotsna;tullio
jytte;tully
kaapo;tunç
kaapro;tünde
kaarina;tündér
kaarle;tuomas
kaarlo;tuomo
kacper;tuor
kade;ture
kaden;turin
kader;turlough
kae;tutankhamon
kaelea;tuulikki
kaelee;tuvya
kaety;tuyên
kagiso;tuyet
kai (1);twdor
kai (2);twila
kaia;twyla
kaija;txomin
kaila;ty
kailash;tybalt
kailee;tycho
kailey;tye
kailyn;tyge
kaimana;tyko
kaisa;tylar
kaiser;tyler
kaitlin;tylor
kaitlyn;tymoteusz
kaitlynn;tyr
kaj;tyra
kajetan;tyreek
kajsa;tyrell
kakalina;tyrese
kala;tyrik
kalani;tyriq
kalea;tyrone
kaleb;tyrrell
kaleigh;tyson
kaleo;tzeitel
kaley;tziporah
kali;tzofiya
kalidas;tzufit
kalla;uaithne
kalle;ualan
kallias;uberto
kallikrates;udo
kalliope;ugo
kallisto;uilleag
kallistrate;uilleam
kálmán;uilliam
kalpana;uinseann
kalyan;ùisdean
kalyani;ukko
kalyn;uland
kalypso;ulbrecht
kalysta;ulf
kam;ulick
kama;ulises
kamal (1);ulisse
kamal (2);ulisses
kamala;ulla
kamaria;ulric
kameron;ulrica
kamil (1);ulrich
kamil (2);ulrik
kamila;ulrika
kamilla;ulrike
kamryn;ultan
kandajha;ulyssa
kane;ulysses
kaneonuskatew;uma
kanta;umar
kanti;umberto
kanya;ume
kaolin;una
kapel;undine
kapil;unice
kapila;unique
kara;unity
karam;upton
karan;urania
karaugh;uranus
karcsi;urbain
kareem;urban
karel;urbana
karen;urbano
karena;uri
karenza;uriah
karesinda;urias
kari (1);uriel
kari (2);urien
karim;urjasz
karima;urs
karin;ursel
karina;ursella
karissa;ursula
karita;urszula
karl;urvakhsha
karla;usagi
karlene;usama
karly;uschi
karol;usha
karola;usko
karoliina;usman
karolina;usoa
karoline;ustinya
karolis;ute
károly;uthman
karolyn;utz
karp;uwe
karrie;uzi
karsten;uzma
karyn;uzziah
karyna;uzziel
kasandra;václav
kasey;václava
kasi;vadim
kasia;vahan
kasimir;val
kasimira;valarie
kaspar;valary
kasper;valda
kassandra;valdemar
kassia;valdis
kassidy;valencia
kassy;valentín
kat;valentin
kata;valentina
katalin;valentine (1)
katana;valentine (2)
katariina;valentino
katarin;valère
katarina;valéria
katarine;valeria
katarzyna;valerian
katashi;valeriana
kate;valérie
katee;valerie
katelin;valerija
katelyn;valerio
katelynn;valeriu
katerina;valerius
katey;valeriya
katharina;valéry
katharine;valeska
käthe;vali
katherina;valkyrie
katherine;valora
kathi;valorie
kathie;valter
kathleen;valtteri
kathlyn;van (1)
kathrin;van (2)
kathryn;vanamo
kathy;vance
katica;vanda
katida;vanessa
katie;vangelis
katina;vanja
katinka;vanna
katja;vanya
katlego;varda
katlyn;vardah
kato;varfolomei
katri;varg
katrien;varinia
katrijn;varinius
katrina;varius
katrine;varlam
katriona;vartouhi
katsu;varvara
katsuo;varya
katsuro;vasant
katy;vasanta
katya;vasco
kausalya;vashti
kaveri;vasil
kawacatoose;vasile
kay (1);vasili
kay (2);vasilica
kaycee;vasilios
kaye;vasilisa
kayetan;vasilka
kayla;vasily
kayleah;vassily
kaylee;vasu
kayleen;vasya
kayleigh;vaughan
kayley;vaughn
kaylie;vavrinec
kaylin;veasna
kayly;veca
kaylyn;veera
kaylynn;velda
kayode;veli
kazia;velia
kazimeras;velma
kazimiera;velvel
kazimierz;velvela
kazimir;vena
kázmér;vencel
kazuki;venceslao
kazuko;venceslás
kazuo;venceslav
kean;venetia
keane;veniamin
keanu;venka
keara;venkat
keaton;venus
keefe;venyamin
keegan;vera
keelan;vercingetorix
keeleigh;vere
keeley;vered
keelin;verena
keely;vergil
keenan;verity
kees;vern
kegan;verna
keighley;verner
keiko;vernon
keir;verona
keira;verónica
keisha;verônica
keith;veronica
keitha;veronika
keithia;véronique
kekepania;vesa
kekoa;vesna
kelan;vespasian
kelcey;vespasiano
keld;vespasien
kelda;vespera
kelebek;vesta
kelemen;vester
kelia;veva
kelleigh;vi
kelley;vibeke
kelli;vibol
kellie;vic
kelly;vicente
kelsey;vicki
kelsi;vickie
kelsie;vicky
kelvin;vico
kemp;victoire
ken (1);víctor
ken (2);victor
kenan;victoria (1)
kenaniah;victoria (2)
kendal;victorine
kendall;victorino
kendra;victorius
kendrick;vid
kenelm;vida
ken'ichi;vidal
kenina;vidar
kenith;vidya
kenji;vien
kenna;vienne
kennard;viggo
kennedy;vijay
kennet;vijaya
kenneth;vikki
kennith;vikram
kenny;viktor
kenrick;viktória
kenshin;viktoria
kent;vilchjo
kenta;vilem
kentigern;vilfred
kenton;vilhelm
kenya;vilhelmi
kenyon;vilhelmiina
keoni;vilhelmo
keren;vilhelms
kerena;vilhjálmur
keren-happuch;vili
kerensa;viljami
kerenza;viljem
keri;vilko
kermit;ville
kerneels;vilma
kerr;vilmar
kerri;vilmos
kerrie;vilppu
kerry;vin
kerstin;vina
kerttu;vinal
keshaun;vinay
keshawn;vince
keshet;vincenc
keshia;vincent
kester;vincentas
kestrel;vincente
kettil;vincenza
keturah;vincenzo
kevan;vinh
kevin;vinko
kevork;vinnie
keysha;vinzenz
kezia;viola
keziah;violet
kgosi;violeta
khadiga;violetta
khadija;violette
khajag;viorel
khaleel;viorica
khalid;vipul
khalida;virgee
khalifa;virgie
khalil;virgil
khalilah;virgilio
khaliq;virginia
khamisi;virginie
khara;vishal
khatijah;vishnu
khayrat;visitacíon
khayri;visnja
khayriyya;vít
khayyam;vita
khloe;vitale
khordad;vitali
khorshed;vitalia
khurshid;vito
khwaja;vitor
kian;vittore
kiana;vittoria
kiara;vittorino
kiaran;vittorio
kiarra;vitus
kibwe;vitya
kichiro;viveka
kiefer;vivian
kielo;viviana
kiera;vivien
kieran;vivienne
kieron;viviette
kierra;vivyan
kiersten;vjeko
kiku;vjekoslav
kiley;vjekoslava
kilian;vlad
kilie;vladilen
killian;vladimir
kim (1);vladimira
kim (2);vladislav
kim (3);vladislava
kimball;vlaho
kimberlee;vlasi
kimberleigh;voirrey
kimberley;voitto
kimberly;vojtech
kimiko;volkan
kimmy;volker
kimo;volodya
kin;volodymyr
kinborough;volos
king;völund
kinga;volya
kinge;vonda
kingsley;vortigern
kip;vosgi
kipling;vreni
kira;vsevolod
kirabo;vulcan
kiran;vyacheslav
kirby;vytautas
kiri;waclaw
kiril;wade
kirill;waheed
kirk;waheeda
kirsa;wahid
kirsi;wahida
kirsteen;walburga
kirsten;waldemar
