bent;fernand
caelie;genghis
caerwyn;genie
caesar;genista
caetano;gennadi
caetlin;gennadius
cahal;gennadiy
cahir;gennady
cai;gennaro
cailean;genoveffa
caileigh;genoveva
cailin;geoff
cain;geoffrey
cainan;geoffroi
cairbre;geordie
cairo;georg
caitlin;george
caitlyn;georgene
caitria;georges
caitríona;georgeta
caitrìona;georgette
caius;georgi
cajsa;georgia
cal;georgiana
calanthe;georgie
calanthia;georgina
calbhach;georgine
caleb;georgios
caleigh;georgiy
caligula;georgo
calista;geraint
calisto;gérald
calix;gerald
calla;geraldine
callahan;geraldo
callias;gerallt
callie;gérard
calliope;gerard
callista;gerardo
callisto (1);gerasim
callisto (2);gerasimos
callistus;géraud
callum;gerben
calogera;gerd
calogero;gerda
calum;gereon
calvagh;gerfried
calvin;gergely
calvino;gergõ
calypso;gerhard
cambria;gerhardt
camden;gerhold
camelia;gerlach
camellia;gerlinde
cameron;germain
camilla;germaine
camille;german
camillo;germano
camillus;gernot
camilo;gerolamo
cammie;gerolt
campbell;geronimo
camron;gerontius
camryn;gerrard
can;gerrit
canan;gerry
candace;gershom
cande;gershon
candela;gert
candelaria;gertie
candelario;gertraud
candelas;gertrúd
candi;gertrud
candice;gertrude
candida;gertrudes
candis;gertrudis
candy;gertruida
canute;gervais
caoilainn;gervaise (1)
caoilfhionn;gervaise (2)
caoimhe;gervas
caoimhín;gervase
caolan;gervasio
caprice;gervasius
capricia;gerwulf
caprina;gethin
cara;gethsemane
caradoc;géza
caradog;ghada
caramia;ghadir
caratacus;ghalib
carbrey;ghaliya
carbry;ghassan
cardea;ghayth
careen;gheorghe
caren;ghislain
carey;ghislaine
cari;ghufran
caridad;gia
carin;giachetta
carina;giacinta
carine;giacinto
caris;giacobbe
carissa;giacomo
carita;giada
carl;giambattista
carla;giampaolo
carlene;giampiero
carles;giancarlo
carley;gianfranco
carlie;gianluca
carlisa;gianluigi
carlisle;gianmarco
carlito;gianmaria
carlitos;gianna
carlo;gianni
carlos;giannino
carlotta;gianpaolo
carlton;gianpiero
carly;gib
carlyle;gideon
carlyn;giedre
carmel;giedrius
carmela;giffard
carmelita;gigi
carmella;gijs
carmelo;gijsbert
carmen;gil (1)
carmi;gil (2)
carmina;gil (3)
carmine;gilad
carmo;gilah
carol;gilbert
carola;gilberta
carole;gilberte
carolina;gilbertine
caroline;gilberto
carolus;gilchrist
carolyn;gilda
caron;giles
carpus;gill
carran;gilles
carreen;gillespie
carrie;gillian
carrol;gillis
carroll;gilroy
carry;gina (1)
carson;gina (2)
carsten;ginette
carter;ginevra
carwyn;ginger
cary;ginnie
caryl;ginny
caryn;gino
carys;gintaras
casey;gintare
casimir;gioacchino
casimiro;gioachino
caspar;gioconda
casper;giordano
cass;giorgia
cassandra;giorgina
cassarah;giorgino
cassia;giorgio
cassian;giosetta
cassidy;giosuè
cassie;giovanna
cassiopea;giovannetta
cassiopeia;giovanni
cassius;giraldo
castor;girish
catahecassa;girolamo
cätälin;gisa
catalina;gisbert
catarina;gisela
cate;gisèle
caterina;gisella
cathair;giselle
cathal;gisselle
cathán;gita
cathaoir;githa
catharine;gitta
catherina;gittan
catherine;gittel
cathleen;giuditta
cathryn;giulia
cathy;giuliana
catina;giuliano
catrin;giulietta
catrina;giulio
catriona;giuseppe
cayetano;giuseppina
cayley;giustina
ceallach;giustino
ceallagh;gizella
ceara;gizi
cearbhall;gjergj
cearra;gjon
cebrián;gjord
cecelia;gjurd
cecil;gladwin
cécile;gladwyn
cecília;gladys
cecilia;glanville
cecilija;glaucio
cecilio;glaw
cecily;gleb
cedar;glen
cedric;glenda
cees;glendower
ceinwen;glenice
celandine;glenn
céleste;glenna
celeste;glenys
célestin;gloria
celestina;glorinda
célestine;glory
celestine;glukel
celestino;glykeria
célia;glyn
celia;glyndwr
celina;glynis
céline;glynn
celino;gnaeus
celio;gobán
celso;gobind
celyn;gobinet
cenek;gobnait
cephalus;gobnata
cephas;gobnet
cepheus;goddard
cerberus;godelieve
ceren;godfrey
ceres;godfried
ceri;godiva
ceridwen;godofredo
cerise;godric
cernunnos;godwin
cerridwyn;goffredo
cerys;gofraidh
cesaire;goibniu
césar;göker
cesare;golda
cezar;goldie
chad;goliath
chadwick;gomer
chaim;gonca
chalchiuhticue;gonçalo
chalice;gonzalo
chanah;goodwin
chance;gopal
chanda;goraidh
chandan;göran
chandana;goran
chander;gord
chandler;gordana
chandra;gorden
chandrakant;gordon
chandrakanta;gore
chanel;goretti
chang;gorka
chania;gormlaith
channah;goro
channing;goronwy
chantal;gosse
chanté;gösta
chantel;gotam
chantelle;gottfrid
chao;gottfried
chara;gotthard
charalampos;gotthilf
charis;gotthold
charissa;gottlieb
charita;gottschalk
charity;govad
charla;govannon
charlene;govind
charles;gowri
charley;goyathlay
charlie;graça
charline;grace
charlot;gracia
charlotta;graciano
charlotte;gracie
charlton;graciela
charmaine;gracilia
charmian;gracja
charna;grady
charnette;graeme
charo;graham
chas;grahame
chase;gráinne
chasity;grania
chastity;grant
chatzkel;granville
chau;granya
chauncey;gratia
chava;gratian
chaya;gratien
chayim;grazia
chaz;graziana
che;graziano
chelle;graziella
chelo;grazyna
chelsea;gréagóir
chelsey;greer
chelsie;greet
chenaniah;greetje
chenda;greg
cheng;greger
cher;gregers
cherette;gregg
cheri;grégoire
cherice;gregor
cherie;gregorio
cherilyn;gregorios
cherise;gregory
cherish;greig
chernobog;grenville
cherokee;gresham
cherry;greta
cheryl;gretchen
chesed;grete
chesley;gretel
chester;grethe
chet;gretta
chetana;grgur
chevonne;grid
cheyanne;grier
cheyenne;griffin
chi;griffith
chiara;grigor
chiarina;grigore
chibuzo;grigori
chiela;grigory
chika;griogair
chikako;griselda
chile;grisha
chin;grizel
china;gro
chip;gronw
chita;grosvenor
chiumbo;grover
chizoba;gruffud
chloé;gruffudd
chloe;gruffydd
chloris;grusha
chonsie;grwn
chris;gry
chrissie;grzegorz
chrissy;guadalupe
christ;gualter
christa;gualtiero
christabel;guda
christabella;gudrun
christabelle;guendolen
christal;guenevere
christelle;guerino
christen;guglielmo
christer;guido
christi;guifré
christiaan;guilherme
christian;guillaume
christiana;guillem
christiane;guillermo
christianne;guinevere
christie;guiomar
christin;guiscard
christina;gül
christine;gul
christmas;gülbahar
christobel;gulbahar
christoffer;gülistan
christoph;gulistan
christophe;gull
christopher;gulzar
christos;gunda
christy;gundula
chrysanta;gunhild
chrysanthe;gunhilda
chrysanthos;gunilla
chryseis;gunnar
chryssa;gunne
chrystal;gunnhild
chucho;gunnvor
chuck;günter
chun;gunter
chus;günther
chylan;gunther
chyna;guntram
cian;gunvor
cianán;gus (1)
ciannait;gus (2)
ciara;gussie
ciaran;gusta
cibor;gustaf
cicely;gustav
cicero;gustave
ciel;gustavo
ciera;gusztáv
cierra;guðrún
cili;guto
cilka;gutxi
cilla;guy
cillian;gwallter
cillín;gwandoya
cináed;gwawr
cinderella;gwen
cindra;gwenaelle
cindy;gwenda
cinzia;gwendolen
cionaodh;gwendoline
ciprian;gwendolyn
cipriano;gweneth
circe;gwenevere
ciriaco;gwenfrewi
ciril;gwenllian
cirillo;gwenneth
cirino;gwenyth
ciro;gwil
cissy;gwilherm
citlali;gwilim
claire;gwillym
clancy;gwilym
clara;gwladus
clare;gwrtheyrn
clarence;gwyn
clarette;gwynedd
claribel;gwyneira
clarice;gwyneth
clarinda;gwynfor
clarissa;gwynn
clarisse;gwythyr
clarity;gyles
clark;gyneth
claud;gyöngyi
claude;györgy
claudette;györgyi
claudia;györgyike
claudine;gyözö
claudio;gypsy
claudiu;gytha
claudius;gyula
claus;gyuri
clay;haakon
clayton;habacuc
cledwyn;habakkuk
cleena;habib
cleisthenes;habiba
clelia;hachiro
clem;hadar
clematis;hadassah
clémence;hades
clemency;hadewych
clemens;hadi
clément;hadil
clement;hadjara
clemente;hadley
clementina;hadrian
clementine;hadrianus
cleo;hadya
cleon;hadyn
cleopatra;hafeez
cletes;hafiz
cletis;hafsa
cleto;hafsah
cletus;hafza
cleve;hagan
cleveland;hagar
cliff;hagen
clifford;haggai
clifton;hagir
clint;hagop
clinton;hai
clio;haidar
clíodhna;haidee
clíona;haider
clitus;haifa
clive;hailee
clodagh;hailey
clothilde;hajar
clotilda;hajna
clover;hajnal
clovia;hajnalka
clovis;hákan
clyde;håkan
clytemnestra;hakan
clytia;hakeem
cnaeus;hakim
cnut;håkon
coby;hal
codie;hala
cody;halcyon
coilean;halcyone
coinneach;haldor
cokkie;hale
colbert;haleigh
colby;haley
cole;halina
coleen;hall
coleman;hallam
colene;halldór
colette;halldor
colin;halldóra
coline;halle (1)
colleen;halle (2)
collin;hallie
collyn;hallvard
colm;halstein
colmán;halsten
colombain;halvar
colombe;halvard
colombina;halvdan
colten;halvor
colton;ham
colum;hamid
columba;hamilcar
columban;hamilton
columbano;hamish
columbine;hamlet
columbo;hammond
comfort;hamnet
comgal;hamo
comgan;hamon
comhghall;hampus
comhghán;hamza
conall;hana
conan;hanaa
concepción;hanan
concepta;hananiah
concetta;hande
concetto;hani
concha;hania
conchita;haniyya
conchobhar;hank
concordia;hanke
confucius;hanna
conleth;hannah
conn;hanne
connell;hannelore
conner;hannes
connie;hannibal
connor;hannu
conor;hans
conrad;happy
conrado;harald
consolata;haraldur
constance;harding
constancia;hardy
constant;hari
constanta;harinder
constantia;harish
constantijn;harith
constantin;harlan
constantina;harland
constantine;harley
constanza;harmon
consuela;harmonia
consuelo;harmonie
consus;harmony
conway;harold
cooper;haroun
coos;harper
cora;harriet
coral;harriett
coralie;harrietta
corbin;harriette
cordelia;harris
cordell;harrison
cordula;harry
coreen;hartley
corentin;hartmann
coretta;hartmut
corey;hartwig
coriander;hartwin
corie;haruko
corin;harun
corina;harve
corine;harvey
corinna;harvie
corinne;hasan
cormac;hasdrubal
cormag;hashim
cornel;hasim
cornelia;haskel
cornélio;hassan
cornelis;hathor
corneliu;hatim
cornelius;hattie
cornell;hatty
corona;haukea
corrado;haul
corrie;hava
corrine;håvard
cort;havel
cortney;haven
cory;havilah
corynn;havva
cosette;haydee
cosima;hayden
cosimo;hayder
coskun;haydn
cosma;hayfa
cosmin;haylee
cosmina;hayleigh
cosmo;hayley
costantino;haylie
costanzo;haytham
costel;haywood
costica;hazael
coty;hazan
courtney;haze
cowal;hazel
cowessess;headley
craig;heath
crawford;heather
cree;heaven
creighton;hebe
crescentia;hebel
crescentius;heber (1)
crescenzo;heber (2)
cressida;hecate
crina;heck
crispian;heckie
crispin;hector
cristal;hedda
cristen;heddwyn
cristi;hedley
cristián;hedvig
cristian;hedwig
cristiana;hedy
cristiano;hege
cristina;heida
cristobal;heidi
cristoforo;heidrun
cristóvão;heike
crocetta;heikki
crocifissa;heiko
crofton;heilwig
cronus;heilyn
cruz;heiner
cruzita;heino
crystal;heinrich
crystin;heinz
csaba;heitor
csilla;helah
ctibor;helder
cuán;heledd
