kirstie;waldo
leanne;zdzislaw
leanora;zé
leatrice;zebadiah
leberecht;zebedee
lech;zebulon
lecia;zebulun
leda;zechariah
lee;zed
leeann;zedekiah
leeba;zeev
leela;zeke
leesa;zeki
leevi;zelda
lefteris;zelde
legolas;zelig
lehi;zella
leia;zelma
leif;zelpah
leigh;zelpha
leighton;zena
leila;zenia
leilah;zeno
leilani;zenobia
leith;zenon
lela;zenovia
leland;zenzi
lelia;zeph
lemmy;zephania
lemoine;zephaniah
lempi;zephyr
lemuel;zephyra
len;zephyrine
lena;zerachiel
lenard;zeta
lene;zeus
leni;zev
lennard;zhen
lennart;zhenya
lennie;zhou
lennon;zia
lennox;ziba
lenny;zilla
lenora;zillah
lenore;zilpah
lenox;zimri
lenuta;zina
lenz;zinaida
leo;zinnia
leocadia;zinovia
leocadio;zion
leofric;zipporah
leofwine;zisel
leokadia;zita
leola;ziv
leolin;ziva
léon;zivit
leon;ziya
leona;ziyad
léonard;zlata
leonard;zlatan
leonardo;zlatko
léonce;zlota
leoncio;zoé
leone (1);zoë
leone (2);zoey
leonhard;zofia
leonid;zohar
leonidas;zoie
léonie;zola
leonius;zoltán
léonne;zona
leonor;zopyros
leonora;zora
leonore;zoraida
leonti;zoran
leontina;zoroaster
léontine;zosia
leontius;zosime
leonty;zosimos
leontyne;zosimus
leonzio;zoticus
léopold;zowie
leopold;zsanett
leopoldo;zsa zsa
leos;zsiga
leroi;zsigmond
leroy;zsófia
les;zsófika
lesedi;zsolt
lesia;zsuzsa
lesleigh;zsuzsanna
lesley;zsuzsi
leslie;zuberi
lesly;zubin
lessie;zula
lester;zuleika
leszek;zulekha
leta;zuri
letha;zusa
leticia;zusman
letitia;zuzana
letizia;zuzanna
leto;zvi
lettice;zvonimir
lettie;zvonimira
letty;zvonko
lev;zygmunt
murali;levent
murchadh;levi
murdag;levon
murdo;lew
murdoch;lewella
muriel;lewin
murphy;lewis
murray;lex
murrough;lexa
murtagh;lexi
musa;lexia
mus'ad;lexie
muscowequan;lexine
mustafa;lexus
mu'tasim;lexy
mwanajuma;leyton
mya;li
myf;lia
myfanwy;líadan
myghal;liam
mykhailo;liana
mykhaylo;liane
mykola;lianne
mykolas;libby
myles;liber
myra;liberatore
myranda;liberius
myrddin;liberty
myriam;libitina
myrna;libor
myron;liboria
myrrine;liborio
myrtie;lida
myrtle;liddy
mysie;lidia
naamah;lidiya
nabil;lieber
nacho;lien
nacio;liesa
nada;liesbeth
nadejda;liese
nader;liesel
nadezhda;lieselotte
nadia (1);liesje
nadia (2);liesl
nadim;ligeia
nadine;ligia
nadir;liisa
nadira;lijsbeth
nadja;lila
nadra;lilac
nadya (1);lilavati
nadya (2);líle
nadzeija;lileas
nagendra;lili
nagi;lilia
nagib;lilian
nahal;liliana
naheed;lilias
nahor;lilith
nahum;lilja
nail;lillian
naila;lillias
na'im;lillie
na'ima;lilly
nainsí;lilo
naitik;lily
naji;lim
najib;lin
nakato;lina (1)
nalani;lina (2)
naldo;linas
nan;lincoln
nana;linda
nanaea;linden
nanaia;lindon
nanashi;lindsay
nancy;lindsey
nanda;lindsie
nandag;lindy
nándor;linette
nandy;linford
nanette;ling
nanna;linh
nannie;linnaea
nanook;linnéa
nanuk;linnet
naoise;linnette
naoko;linnie
naomh;linos
naomhán;linsay
naomi (1);linsey
naomi (2);linton
naphtali;linus
napier;linwood
napoleon;linzi
narayan;lionel
narca;lior
narcisa;liouba
narciso;lir
narcissa;liron
narcisse;lis
narcissus;lisa
narelle;lisanne
narendra;lisbet
narinder;lisbeth
nasim;lise
nasir;lisette
nasira;lisha
nastasia;lissa
nastya;lita
nat;liv
natale;livia (1)
natalee;livia (2)
natália;liviana
natalia;livio
natalie;liviu
natalya;livius
natan;livvy
natanaele;livy
natasa;liz
natasha;liza
nathalie;lizaveta
nathan;lizbeth
nathanael;lizette
nathaniel;lizolet
natille;lizzie
natsuko;lizzy
natsumi;ljubomir
naum;lleu
nava;lleulu
naveed;llew
naveen;llewella
navid;llewellyn
nawal;llewelyn
nawra;llora
nayeli;llorenç
nazaire;lloyd
nazario;lluc
ndidi;lluis
nea;llyr
neacel;llywellyn
neal;llywelyn
neasa;lochan
neassa;lochlainn
neculai;lochlann
ned;lockie
neelam;lodewijk
neely;lodovico
nefertari;logan
nefertiti;loic
nehemiah;lois
neifion;loki
neil;lola
neilina;lolicia
neirin;lolita
nekane;lomán
nekoda;lommán
nelda;lon
nell;lonán
nelle;london
nellie;lone
nelly;lonnie
nels;lonny
nelson;lope
nelu;lora
nemesis;loraine
nena;lorainne
neo (1);lóránd
neo (2);lóránt
neoptolemus;lorayne
nephele;lorcán
neptune;lorccán
nereida;lore
nereus;loredana
nereza;loreen
nergis;lorelei
neriah;lorelle
nerida;loren
nerina;lorena
nerio;lorencio
nerissa;lorene
nero (1);lorens
nero (2);lorenz
nerys;lorenza
nessa (1);lorenzo
nessa (2);loreto
nessa (3);loretta
nesta;lorette
nestor;lori
nestore;lorie
nethaniah;lorin
netta;lõrinc
nettie;lorinda
netuno;loris
neus;lorita
neva;lorn
nevada;lorna
nevaeh;lorne
nevan;lorraine
neve;lorri
neves;lorrie
nevil;lorrin
neville;lothair
nevio;lothaire
newt;lothar
newton;lothario
neza;lotta
ngai;lotte
ngaio;lottie
ngaire;lotus
ngoc;lou
ngozi;louella
nguyen;louie
nguyet;louis
nhung;louisa
nia (1);louise
nia (2);louiza
niall;loup
niamh;lourdes
nibori;love
nic;lovel
niccolò;lovell
nichjo;loviisa
nichol;lovisa
nicholas;lovise
nichole;lowell
nick;lowri
nickolas;loyd
nickolaus;luana
nicky;luann
nico;luanna
nicodème;luanne
nicodemo;luba
nicodemus;luben
nicol;lubna
nicola (1);lubomierz
nicola (2);lubomir
nicolae;luc
nicolao;luca (1)
nicolaos;luca (2)
nicolás;lúcás
nicolas;lucas
nicolasa;lucasta
nicolau;luce
nicole;lucetta
nicoleta;luchjo
nicoletta;lúcia
nicolette;lucía
nicolina;lucia
nicolò;lucian
nicomedo;luciana
nicostrato;luciano
nicu;lucie
nicusor;lucien
niels (1);lucienne
niels (2);lucifer
nieve;lucile
nieves;lucilla
nigel;lucille
nigelia;lucina
nigella;lucinda
niilo;lucinde
nikandros;lucine
nike;lucio
nikephoros;lucius
nikias;lucjan
nikifor;lucky
nikita;lucrece
nikki;lucretia
nikkole;lucrezia
niklas;lucy
niklaus;ludger
niko;ludmila
nikodemos;ludmilla
nikodim;ludo
nikola;ludovic
nikolaas;ludovica
nikolai;ludoviko
nikolao;ludvig
nikolaos;ludvik
nikolas;ludwig
nikolaus;ludwik
nikole;luella
nikoleta;lugh
nikolett;lughaidh
nikolina;lugus
nikomachos;luigi
nikomedes;luigina
nikon;luigino
nikostratos;luis
nila;luisa
niles;luise
nilofer;luíseach
niloofar;luitgard
nils;luitger
nimbus;luitpold
nina (1);luiz
nina (2);lujayn
ninel;lujza
ninette;luka
ning;lukács
ninian;lukas
nino;luke
ninon;luksa
nioclás;lula
nir;lulu
nirvana;luminita
nishant;lumusi
nissa;luna
nita;luned
niu;lunete
nivek;lupe
niven;lupita
nizar;lurdes
nkechi;lure
nkosana;lutfi
nkosazana;lutgard
nkruma;lutgardis
nnamdi;luther
noa;lúðvík
noach;lutz
noah (1);luuk
noah (2);luukas
noak;luvenia
noam;luvinia
noble;lux
nobu;luz
noé;luzia
noel;lyall
noelani;lycurgus
noele;lyda
noelene;lydia
noella;lydie
noelle;lyle
noemi;lyn
noémie;lynda
noga;lyndi
nohemi;lyndon
nóirín;lyndsay
nola;lyndsea
nolan;lyndsey
nolene;lynette
noll;lynn
nomusa;lynna
nona;lynne
nonie;lynnette
noor;lynsay
noora;lynsey
nora;lynton
norah;lynwood
norbert;lyov
noreen;lyra
norene;lyric
nori;lysander
norina;lysandra
norm;lysette
norma;lysimachus
norman;lysistrata
normand;lyssa
normina;lyuba
norris;lyubov
norton;lyudmila
norwood;lyudmyla
nova;lyydia
novia;lyyti
novio;maaike
nowell;maaria
nsia;maarit
nsonowa;maarja
nuada;maarten
nuadha;maartje
nuala;maas
nudd;maata
nuha;mabel
nuno;mabella
nunzia;mabelle
nunziatina;mable
nunzio;mabon
nuo;macarena
nur;macaria
nura;macario
nuray;macey
núria;machteld
nyah;macie
nyala;maciej
nydia;mack
nye;mackenzie
nyree;macsen
nyssa;macy
nyx;madai
oana;madailéin
obadiah;madalena
obed;madalyn
oberon;mädchen
obi;maddalena
ocean;maddison
océane;madelaine
ochieng;madeleine
octavia;madelina
octavian;madeline
octavio;madelyn
octavius;madge
odalis;madhav
odalys;madhavi
odd;madhu
oddmund;madhukar
odelia;madhur
odell;madison
odessa;madisyn
odetta;madlyn
odette;madoc
odharnait;madog
odhiambo;madoline
odhrán;madonna
ödi;mads
odila;madyson
odile;mae
odilon;maegan
odin;maeja
odo;maeleachlainn
odoacer;maeva
ödön;maeve
odovacar;mafalda
odran;magda
odysseus;magdalen
oedipus;magdalena
óengus;magdalene
ofélia;magdalone
ofelia;magdolna
ofer;maggie
ofra;magnhild
ofydd;magnolia
ogden;magnus
oighrig;maha
oisín;mahala
oiva;mahalah
oksana;mahalath
ola;mahali
olabode;mahalia
olaf;mahatma
olalla;mahavir
olamide;mahendra
olanrewaju;mahin
olav;mahinder
olavi;mahlah
olayinka;mahli
oldrich;mahmood
ole;mahmud
oleg;mahomet
olek;mahon
oleksander;mahvash
olena;mai
olga;maia (1)
oli;maia (2)
olimpia;maighread
olive;maija
oliver;maike
olivette;maile
olivia;mainchín
olivie;mainio
olivier;mair
olle;máire
olli;mairéad
ollie;mairead
olof;mairenn
olov;màiri
olufemi;máirín
olufunmilayo;mairtín
olufunmilola;mairwen
olujimi;maisie
olukayode;maite
olumide;maitiú
oluwafunmilayo;maitland
oluwasegun;maja
oluwaseun;major
oluwaseyi;makaio
oluwatoyin;makari
oluwayemisi;makayla
olwen;makeda
olwin;makenna
olwyn;makenzie
olya;makram
olympe;maksim
olympia;maksimilian
olyvia;mala
om;malachi
omar;malachy
omega;malaika
ömer;malak
omid;malakai
omolara;malamis
omri;malandra
ona;malati
ondrej;malcolm
oneida;malcom
onesime;maldwyn
onesimus;maleah
onesiphorus;maleko
oni;malene
onisim;malgorzata
onni;malia
onora;malie
onur;malik
oona;malika
oonagh;malin
opal;malina
opaline;malinda
opeyemi;malka
ophelia;mallaidh
ophiuchus;mallory
ophrah;mallt
oprah;malone
ora;malvina
orabela;malvolio
orah;mamie
oral;manasseh
oralee;manasses
oralie;mandeep
oran;mandi
orazio;mandy
orbán;manel
orel;manfred
oren;manfredo
orestes;manfried
orfeo;mani
órfhlaith;manish
oriana;manjula
oriane;manjusha
orianne;manley
orinda;manlio
orinthia;mannix
orion;manny
örjan;manoel
orla;manola
orlagh;manolo
órlaith;manon
orlando;mansel
orli;mansoor
orly;mansur
ormerod;manu
ormond;manuel
ormonda;manuela
ormonde;manus
orna;manya
ornat;maoilios
ornella;maquinna
orpa;mara (1)
orpah;mara (2)
orpha;marajha
orpheus;maral
orrell;maralyn
orrin;marc
orsina;marcel
orsino;marcela
orso;marceli
orsolya;marcelina
orson;marceline
orval;marcelino
orvar;marcella
orville;marcelle
orvokki;marcellette
osama;marcellin
osamu;marcelline
osanne;marcellino
osbert;marcello
osborn;marcellus
osborne;marcelo
osbourne;marci
oscar;marcia
osheen;marcie
osip;marcin
osiris;marcio
óskar;marco
oskar;marcos
oskari;marcus
osman;marcy
osmond;marduk
osmund;mared
ossia;maredudd
ossian;mareike
osvaldo;marek
oswald;maresol
oswin;marfa
oszkár;margaid
otakar;marganita
otávio;margaret
othello;margaréta
othniel;margareta
otho;margarete
otieno;margarethe
otis;margaretta
otokar;margarid
otso;margarida
ottavia;margarita
ottaviano;margaux
ottavio;marge
otthild;marged
ottila;margery
ottilie;margh
ottó;margherita
otto;margie
ottokar;margit
ottoline;margo
ouida;margot
ourania;margrét
ouranos;margrethe
ovadia;marguerite
ove;mari
oved;mária
ovid;maría
ovidiu;maria
owain;mariabella
owen (1);mariah
owen (2);mariam
owena;mariamne
oxana;marian (1)
oz (1);marian (2)
oz (2);marian (3)
ozan;mariana
ozanne;mariangela
özgür;marianna
özlem;marianne (1)
ozzie;marianne (2)
ozzy;mariano
paaie;marianus
paavali;maribel
paavo;marica
pablo;marie
pace;marieke
pacey;mariel
pachjo;mariele
pacifica;mariella
paco;marielle
paddy;marietta
paden;mariette
paderau;marigold
padma;marija
padmavati;marijan
padmini;marijana
pádraig;marijke
pàdraig;marijona
pàdraigín;marijse
padrig;marika
page;mariko
paget;marilena
paige;marilene
paise;marilou
paki;marilyn
pakpao;marilynn
pál;marin
pàl;marina
pål;marinda
pála;marine
páll;marino
pallas;marinus
pallu;mario
palmer;marion (1)
palmira;marion (2)
palmiro;maris
paloma;marisa
pam;marise
pamela;mariska
pamelia;marisol
pamella;marissa
pamila;marit
pamphilos;marita
panagiota;maritza
panagiotis;marius
panayiotis;mariusz
pancho;mariya
pancras;marja
pancrazio;marjaana
panda;marjan
pandora;marjani
panfilo;marje
pankrati;marjeta
pankratios;marjolaine
pankraz;marjorie
panni;marjory
pansy;márk
pantaleon;mark
pantaleone;markéta
panther;marketta
pantheras;markku
paola;marko
paolina;markus
paolino;marla
paolo;marlee
papak;marlen
papillion;marlena
paramonos;marlene
paraskeve;marley
paride;marlin
paris;marlon
parisa;marlowe
parker;marly
parnel;marlyn
parris;marmaduke
parry;marna
parsifal;marni
parth;marnie (1)
parthalan;marnie (2)
parthenia;marquis
parthenope;marquise
parvaiz;marquita
parvanah;mars
parvati;marsaili
parveen;marsha
parvin;marshal
parwiz;marshall
pascal;marshan
pascale;márta
pascaline;märta
paschal;marta
pasco;mårten
pascual;marten
pascuala;martha
pasha;marthe
pasquale;martie
pasqualina;martijn
pasqualino;martín
pat;martin
patience;martina
patrice;martine
patricia;martinho
patricio;martino
patrick;martirio
patrik;martita
patrizia;márton
patrizio;martta
patroclus;martti
patrycja;mártuska
patryk;marty
patsy;martyn
patti;martyna
pattie;marva
patton;marvin
patty;marvyn
patxi;marwa
patya;mary
pau;marya
paul;maryam
paula;maryann
paule;maryanne
pauleen;marylou
paulene;marylyn
pauletta;maryvonne
paulette;marzena
pauli;marzio
pauliina;masego
paulina;masha
pauline;mason
paulino;masood
paulo;massimiliano
pavao;massimo
pavel;masterman
pavlo;mas'ud
pavlos;masuyo
pawel;mat
pax;máté
payton;matej
peace;mateja
peadar;mateo
pearce;mateus
pearl;mateusz
pearle;matheus
pearlie;mathew
peder;mathias
pedr;mathieu
pedro;mathilda
peers;mathilde
peg;mathis
pegasus;mathúin
peggie;matias
peggy;matija
peigi;matild
pekka;matilda
pelageya;matilde
pelagia;matjaz
pelagius;matleena
pellegrino;matrona
pembe;matryona
pen;mats
pene;matt
pénélope;matteo
penelope;matthew
peni;matthias
peninnah;matthieu
penny;matti
pentti;mattia
peony;mattie
pepca;mattithyahu
pepe;matty
pepita;matvei
pepito;mátyás
peppi;matylda
per;maud
perce;maude
perceval;maudie
percival;mauno
percy;maura (1)
perdita;maura (2)
pere;maureen
peregrine;maurene
perele;mauri
pericles;maurice
perla;mauricio
perle;maurine
perlie;maurizio
pernel;mauro
pernilla;maurus
pernille;mave
pero;maverick
peronel;mavis
peronelle;mavourneen
perpetua;mavreena
perrine;max
perry;maxene
persephone;maxim
perseus;maxime
persis;maximiano
pertti;maximilian
perttu;maximilien
perun;maximilienne
peta;maximillian
petar;maximino
pete;maximo
péter;maximus
peter;maxine
petera;maxwell
peterkin;may
peti;maya (1)
petia;maya (2)
petr;maybelle
petra;maybelline
petranella;mayim
petras;mayme
petre;maynard
petri;maynerd
petrica;mayra
petrina;mayson
petro;mayte
petrona;mazin
petronel;mckayla
petronella;mckenna
petros;mckenzie
petru;méabh
petter;meadhbh
petteri;meadow
petula;meagan
petunia;meaghan
pétur;meallán
petya;meave
peyton;meaveen
phaedra;mechteld
phaedrus;mechtilde
pharamond;medb
phebe;medea
phelan;media
phelim;medusa
phemie;meena
pheobe;meera
phil;mefodi
philadelphia;meg
philander;megan
philbert;meghan
phile;mehalia
philemon;mehetabel
philibert;mehitabel
philip;mehmed
philipa;mehmet
philipp;mehmud
philippa;mehrdad
philippe;mei
philippina;meical
philippine;meike
philis;meinard
phillida;meinhard
phillip;meinir
phillipa;meinrad
phillis;meinwen
philo;meir
philokrates;meirion
philomel;meiriona
philomela;mel
philomena;melaina
philon;melania
philotheos;mélanie
phineas;melanie
phinehas;melany
phirun;melba
phobos;melchior
phocas;melchiorre
phoebe;melchor
phoebus;mele
phoenix;melek (1)
photine;melek (2)
photios;melesina
phrixus;melete
phuong;melia (1)
phyliss;melia (2)
phyllida;melicent
phyllis;melina
pia;melinda
piaras;meliora
pich;melisa
piedad;mélissa
piera;melissa
pierce;melita
pierina;melitta
piero;mellan
pierre;melle
pierrick;mellony
piers;melody
piet;melor
pietari;melpomene
pieter;melva
pietrina;melville
pietro;melvin
pietronella;melvyn
piety;melyssa
piia;menachem
pika;menahem
pilar;menashe
pili;mendel
pilib;menelaus
pilvi;menes
pinchas;menno
ping;menuha
pino;meraud
piotr;mercedes
pip;mercia
piper;mercury
pippa;mercy
pipra;meredith
piri;mererid
piritta;merete
pirjo;merfyn
pirkko;merideth
piroska;meriel
pista;merilyn
pisti;merita
pitambar;meriwether
pius;merla
placid;merle
placida;merletta
placide;merlin
placido;merlyn
plamen;merrick
plato;merrill
platon;merrilyn
pleasance;merrion
pluto;merritt
pocahontas;merry
pól;merten
pòl;merton
poldi;merv
poldie;mervin
polina;mervyn
pollie;meryem
pollux;meryl
polly;meshach
pollyanna;meshulam
polona;meshullam
polycarp;meta
polydeukes;methoataske
polyhymnia;methodius
polyxena;methuselah
pompeo;metin
pompey;metody
pompiliu;mette
poncio;meuric
pons;meurig
pontius;meyer
pontus;mhairi
ponzio;mia
poornima;mica
poppy;micaela
porfirio;micah
porsche;micaiah
porter;micajah
portia;michaël
poseidon;michael
posie;michaela
posy;michal (1)
poul;michal (2)
prabhakar;michalina
prabhu;michayla
prabodh;mícheál
pradeep;mìcheal
praise;micheal
prakash;micheil
pramod;michel
pran;michela
pranay;michelangela
pranciskis;michelangelo
prasad;michèle
pratap;michele
pratibha;michelina
pratima;micheline
praxis;michelle
praxiteles;michelyne
preben;michi
precious;michiel
preeti;michiko
prem;michjo
prema;mick
preston;mickey
priam;mictlantecuhtli
price;midas
primitiva;midge
primo;midori
primrose;mieczyslaw
primula;mieke
prince;miela
princess;mieszko
pris;mignon
prisca;miguel
priscilla;miguela
prissy;miha
priya;mihael
prometheus;mihaela
proserpina;mihai
proserpine;mihaita
prosper;mihajlo
prospero;mihály
proteus;mihammad
pru;mihangel
prudence;mihhaelo
prudencio;miia
prudentius;miina
prudenzio;mika
prue;mikael
prunella;mikaela
pryce;mikala
pryderi;mikayla
przemek;mike
przemo;mikel
przemyslaw;mikelo
psyche;mikhail
ptah;mikhaila
ptolema;mikhailo
ptolemy;miki
publius;mikkel
purdie;mikko
purushottam;miklós
pushpa;mikolaj
pyotr;mikolás
pyrrhus;miksa
pyry;mikula
pythagoras;mikulás
qadir;mila
qasim;milada
qiana;milagros
qing;milan
qiu;milana
quan;milburga
quanah;milburn
quang;mildred
quanna;milena
queen;miles
queenie;milford
quentin;millard
quetzalcoatl;millicent
quiana;millie
quianna;milo
quim;milogost
quin;milos
quincey;miloslav
quincy;miloslava
quinlan;miloslaw
quinn;milosz
quintella;miltiades
quintin;milton
quinton;mimi
quintus;mina
quique;minako
quirino;mindy
quirinus;minerva
qusay;ming
quy;minh
quyen;minna
ra;minnie
raakel;minoru
raanan;minta
rab;minty
rabab;miquel
raban;mira
rabbie;mirabella
rabindra;mirabelle
rachael;miracle
racheal;miranda
rachel;mircea
rachele;mireia
rachelle;mireille
rachyl;mireio
raclaw;mirela
racquel;mirele
ra'd;mirella
rada;mirembe
radcliff;miren
radclyffe;miriam
radek;mirinda
radha;mirja
radim;mirjam
radimir;mirjami
radko;mirko
radmilo;mirna
radomil;miroslav
radomila;miroslava
radomir;miroslaw
radomira;miroslawa
radoslav;miruna
radoslava;mirza
radoslaw;misha
radoslawa;misi
radovan;mis'id
radu;miska
radulf;missie
radzimierz;misti
rae;misty
raeburn;mitch
raelene;mitchell
raelyn;mithra
rafa;mitica
rafael;mitsuko
rafaela;mitxel
rafal;mitya
rafe;mitzi
raffaele;miyako
raffaella;mnason
raffaello;mneme
rafiq;mo
rafiqa;moa
raghnaid;moana
raghnailt;modest
raghnall;modesta
raghu;modeste
ragna;modestine
ragnar;modesto
ragnborg;modestus
ragnfrid;modesty
ragnheiður;modya
ragnhild;mogens
ragnhildur;mohamed
ragnvald;mohammad
raguel;mohammed
rahab;mohan
rahat;mohana
raheem;mohandas
rahim;mohinder
rahul;mohini
raibeart;moira
ráichéal;moirrey
raiden;moisés
raimonda;moishe
raimondo;mojisola
raimund;mokosh
raimunde;mollie
raimundo;molly
rain;mona (1)
raina;mona (2)
rainard;mona (3)
raine;monat
rainer;monday
rainerio;monet
rainier;mongkut
raisa (1);mónica
raisa (2);monica
raisel;monifa
raj;mónika
raja;monika
rajani;monique
rajender;monna
rajendra;monroe
rajesh;monserrat
rajinder;monta
rajiv;montague
rajneesh;montana
rajnish;monte
rajya;montgomery
rakel;montserrat
rakesh;monty
raleigh;mór
ralf;mora
ralph;morag
ralphie;morana
ralphina;moray
raluca;morcant
ram;mordecai
rama;mordechai
ramachander;mordikai
ramachandra;moreen
ramakrishna;morgaine
rameses;morgan
ramesh;morgana
rameshwar;morgane
ramiro;moriah
ramla;móric
ramón;moricz
ramon;moriko
ramona;moritz
ramsay;morley
ramses;morna
ramsey;morpheus
ran;morrigan
rana;mórríghan
ranald;morris
randa;mort
randal;morten
randall;mortimer
randell;morton
randi;morty
